Name,Location,Price,Ratings,Reviews,Reviews Score
FabHotel Olive Inn I - 260m from Saltlake Sector V Metro Station,"Salt Lake, Kolkata",1611,Review score,Review score,19
Hotel O Arati House,Kolkata,1184,Review score,Review score,30
Hotel Orion Crystal,"Park Street, Kolkata",3847,Review score,Review score,11
Royal Paying Guest,Kolkata,1400,Review score,Review score,29
The Elgin Hotel,Kolkata,1848,Exceptional,Exceptional,1
Hotel O2 VIP,Kolkata,3499,Review score,Review score,113
Hotel Avenue,Kolkata,1142,Review score,Review score,9
Centerpoint Guest House,Kolkata,800,Review score,Review score,39
Morvee Hotels Alipore Kolkata,Kolkata,4830,Good,Good,125
Hotel O Red Rose Near Noapara Metro Station,Kolkata,861,Review score,Review score,7
"The Altruist Business Stays- New Town, Kolkata","New Town, Kolkata",3060,Very Good,Very Good,13
Park Prime Kolkata,Kolkata,4486,Review score,Review score,10
Hotel Eastern Plaza,Kolkata,1275,Review score,Review score,24
The Turquoise Letterbox - Twin at Central,Kolkata,3380,Exceptional,Exceptional,46
Rest Inn Hotel Newtown Road Near Tata Medical,"New Town, Kolkata",850,Review score,Review score,7
Aafreen International,"Tata Medical Centre, Kolkata",3200,Review score,Review score,1
Casa Broadway-A Boutique Hotel,Kolkata,2914,Good,Good,146
Hotel The Crest,"Ballygunge, Kolkata",2550,No Reviews,No Reviews,Not Available
Hotel Metropole,"Ballygunge, Kolkata",3570,Review score,Review score,64
Luxury penthouse on budget,Kolkata,1700,No Reviews,No Reviews,Not Available
Southern Plaza,"Kalighat, Kolkata",4256,Review score,Review score,92
Lara stay 2bhk appartments,Kolkata,1020,Review score,Review score,2
Stay near Quest Mall & Don Bosco Park Circus,Kolkata,1166,Very Good,Very Good,1
Hotel Fab International,Kolkata,1757,No Reviews,No Reviews,Not Available
MD International Guest House,Kolkata,1755,Very Good,Very Good,14
Hotel The Crystal,Kolkata,2106,Good,Good,1
"Krishna Kunja "" A Quiet & Peaceful Stay """,Kolkata,3096,Very Good,Very Good,139
Bhammar's Inn - A Pure Veg,"Ballygunge, Kolkata",1663,No Reviews,No Reviews,Not Available
Hotel Sonargaon !! Near Esplanade !! Couple Friendly Hotel !!,Kolkata,1572,Review score,Review score,4
Hotel Comfotel Kolkata,"Ballygunge, Kolkata",3319,No Reviews,No Reviews,Not Available
HOTEL HEERA,Kolkata,2600,Good,Good,1
FabHotel Carnival,"New Town, Kolkata",1406,Review score,Review score,75
Omshanti Guest House A Boutique Hotel,Kolkata,803,No Reviews,No Reviews,Not Available
HOTEL-Al BURJ INTERNATIONAL,Kolkata,1000,Review score,Review score,4
Super Collection O Heritage Near Acropolis Mall,Kolkata,1046,Review score,Review score,24
Shivam Hotels,Kolkata,1800,Review score,Review score,42
"Palli Bangla Resort, near Ruby Hospital, Anandapur",Kolkata,4000,Wonderful,Wonderful,11
"BluO Lake View Studio - NewTown - Terrace Garden, Gym","New Town, Kolkata",2950,Good,Good,3
NK7 Guest House,"New Town, Kolkata",1520,Review score,Review score,27
The Kei Inn & Suites Hotel near Salt Lake,"Salt Lake, Kolkata",1326,Good,Good,56
The ViewHouse Studio 1BHK,"Ballygunge, Kolkata",2880,Wonderful,Wonderful,1
The Hygge Guest House,"Salt Lake, Kolkata",891,Review score,Review score,2
Pushpa Di Ghar,Kolkata,820,Review score,Review score,73
Super Hotel O ROYAL EMPIRE,Kolkata,1897,Review score,Review score,26
Hotel Airways,Kolkata,1100,Review score,Review score,7
PARKSTONE,Kolkata,2339,Review score,Review score,24
Super Hotel O Serampore Railway Station Formerly Rupashi Guest House,Kolkata,1539,Excellent,Excellent,3
Hotel O Star guest House,Kolkata,884,Review score,Review score,9
Satguru Homestays,Kolkata,2488,Exceptional,Exceptional,1
Massive 3BHK Serviced Apt for Big Groups & Family,Kolkata,7635,Good,Good,1
FabHotel Next Generation,"New Town, Kolkata",1598,Review score,Review score,3
APRO,Kolkata,820,Review score,Review score,7
The Lake Palm Kalighat,"Kalighat, Kolkata",2600,Exceptional,Exceptional,1
Hotel Nest Park Street,Kolkata,1400,Very Good,Very Good,16
Sher-E-Punjab,Kolkata,3000,Review score,Review score,18
Super Hotel O DA Guest Home,Kolkata,823,Review score,Review score,5
J's Nest,"Salt Lake, Kolkata",3600,Good,Good,153
